ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2024
20_503_5315_15_1,Scope 3,Waste disposal,Electrical items,WEEE - fridges and freezers,,Re-use,tonnes,kg CO2e,
20_503_5316_15_1,Scope 3,Waste disposal,Electrical items,WEEE - fridges and freezers,,Open-loop,tonnes,kg CO2e,6.41061
20_503_5317_15_1,Scope 3,Waste disposal,Electrical items,WEEE - fridges and freezers,,Closed-loop,tonnes,kg CO2e,
20_503_5318_15_1,Scope 3,Waste disposal,Electrical items,WEEE - fridges and freezers,,Combustion,tonnes,kg CO2e,
20_503_5319_15_1,Scope 3,Waste disposal,Electrical items,WEEE - fridges and freezers,,Composting,tonnes,kg CO2e,
20_503_5320_15_1,Scope 3,Waste disposal,Electrical items,WEEE - fridges and freezers,,Landfill,tonnes,kg CO2e,8.88386
20_503_5321_15_1,Scope 3,Waste disposal,Electrical items,WEEE - fridges and freezers,,Anaerobic digestion,tonnes,kg CO2e,
20_503_5322_15_1,Scope 3,Waste disposal,Electrical items,WEEE - large,,Re-use,tonnes,kg CO2e,
20_503_5323_15_1,Scope 3,Waste disposal,Electrical items,WEEE - large,,Open-loop,tonnes,kg CO2e,6.41061
20_503_5324_15_1,Scope 3,Waste disposal,Electrical items,WEEE - large,,Closed-loop,tonnes,kg CO2e,
20_503_5325_15_1,Scope 3,Waste disposal,Electrical items,WEEE - large,,Combustion,tonnes,kg CO2e,6.41061
20_503_5326_15_1,Scope 3,Waste disposal,Electrical items,WEEE - large,,Composting,tonnes,kg CO2e,
20_503_5327_15_1,Scope 3,Waste disposal,Electrical items,WEEE - large,,Landfill,tonnes,kg CO2e,8.88386
20_503_5328_15_1,Scope 3,Waste disposal,Electrical items,WEEE - large,,Anaerobic digestion,tonnes,kg CO2e,
20_503_5329_15_1,Scope 3,Waste disposal,Electrical items,WEEE - mixed,,Re-use,tonnes,kg CO2e,
20_503_5330_15_1,Scope 3,Waste disposal,Electrical items,WEEE - mixed,,Open-loop,tonnes,kg CO2e,6.41061
20_503_5331_15_1,Scope 3,Waste disposal,Electrical items,WEEE - mixed,,Closed-loop,tonnes,kg CO2e,
20_503_5332_15_1,Scope 3,Waste disposal,Electrical items,WEEE - mixed,,Combustion,tonnes,kg CO2e,6.41061
20_503_5333_15_1,Scope 3,Waste disposal,Electrical items,WEEE - mixed,,Composting,tonnes,kg CO2e,
20_503_5334_15_1,Scope 3,Waste disposal,Electrical items,WEEE - mixed,,Landfill,tonnes,kg CO2e,8.88386
20_503_5335_15_1,Scope 3,Waste disposal,Electrical items,WEEE - mixed,,Anaerobic digestion,tonnes,kg CO2e,
