ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2024
5_303_3097_4_3,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,CNG,km,kg CO2e of CH4 per unit,
5_303_3097_4_4,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,CNG,km,kg CO2e of N2O per unit,
5_303_3098_4_1,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,LPG,km,kg CO2e,
5_303_3098_4_2,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,LPG,km,kg CO2e of CO2 per unit,
5_303_3098_4_3,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,LPG,km,kg CO2e of CH4 per unit,
5_303_3098_4_4,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,LPG,km,kg CO2e of N2O per unit,
5_303_3099_4_1,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Unknown,km,kg CO2e,
5_303_3099_4_2,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Unknown,km,kg CO2e of CO2 per unit,
5_303_3099_4_3,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Unknown,km,kg CO2e of CH4 per unit,
5_303_3099_4_4,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Unknown,km,kg CO2e of N2O per unit,
5_303_3100_4_1,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.13292
5_303_3100_4_2,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.13112
5_303_3100_4_3,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,0.00001
5_303_3100_4_4,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,km,kg CO2e of N2O per unit,0.00179
5_303_3101_4_1,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Battery Electric Vehicle,km,kg CO2e,0.00000
5_303_3101_4_2,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.00000
5_303_3101_4_3,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Battery Electric Vehicle,km,kg CO2e of CH4 per unit,0.00000
